,Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
135,2019,23,106436,106436,Oaks On Market,54-60 Market Street MELBOURNE 3000,Melbourne (CBD),1967.0,2004.0,25.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.96082,-37.81778,571.73,711.418,856.853,783.854,834.426,763.296,831.852,844.442,800.095,902.541,861.321,913.92
136,2019,48,105970,105970,City Centre Budget Hotel,22-32 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1957.0,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.97256,-37.81244,246.115,273.962,291.651,272.824,303.122,269.197,305.045,234.05,269.948,295.076,115.079,238.984
137,2019,111,102950,102950,Flagstaff City Motel,45-55 Dudley Street WEST MELBOURNE 3003,West Melbourne (Residential),1978.0,2003.0,3.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.95103,-37.8101,107.174,107.989,118.722,110.197,111.356,108.391,119.165,118.075,103.895,114.608,115.07,111.532
138,2019,18,108976,108976,Mercure Melbourne Treasury Gardens,13-23 Spring Street MELBOURNE 3000,Melbourne (CBD),1972.0,1999.0,14.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.9742,-37.81477,477.482,546.437,576.568,506.258,595.357,497.113,574.401,592.865,533.214,465.836,535.029,474.471
139,2019,21,606461,606461,Batmans Hill on Collins Hotel,607-623 Collins Street MELBOURNE 3000,Melbourne (CBD),2005.0,2009.0,6.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,,144.95469,-37.81929,817.084,922.913,952.283,862.015,1040.197,874.089,1008.956,1008.33,907.992,1023.302,922.811,804.264
140,2019,38,103628,103628,,96-102 Exhibition Street MELBOURNE 3000,Melbourne (CBD),1965.0,2003.0,11.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.97145,-37.8133,237.871,259.185,279.575,249.906,284.833,243.139,280.755,280.4,198.588,0.0,0.0,0.0
141,2019,12,103956,103956,Highlander Apartments,487-497 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1988.0,1997.0,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.95771,-37.81938,373.439,394.065,432.484,402.01,443.394,393.016,439.227,440.74,394.914,444.593,422.11,384.345
142,2019,803,597190,110477,Crown Towers Hotel,Crown Towers Hotel 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,1997.0,,37.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,True,144.95835,-37.82315,437.283,475.355,516.518,461.364,523.341,425.717,512.601,518.768,461.612,532.108,502.548,463.707
143,2019,420,104711,104711,,13-25 Hawke Street WEST MELBOURNE 3003,West Melbourne (Residential),1970.0,2014.0,3.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,,144.94863,-37.80612,40.854,39.371,44.856,42.935,40.038,42.095,47.353,46.19,33.468,35.289,45.337,44.779
144,2019,858,107815,107815,Gallia,733-735 Punt Road SOUTH YARRA VIC 3141,South Yarra,1940.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,10.0,True,144.98629,-37.83782,92.135,52.663,85.998,129.432,92.8,88.627,102.922,99.685,95.353,106.325,74.391,109.534
145,2019,47,101118,101118,Citadines Melbourne On Bourke,131-135 Bourke Street MELBOURNE 3000,Melbourne (CBD),2010.0,,25.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,10.0,True,144.96947,-37.81301,315.77,358.2,377.569,357.634,377.016,336.58,374.205,394.69,374.648,396.793,349.272,340.752
146,2019,368,100458,100458,Arden Motel,7-15 Arden Street NORTH MELBOURNE 3051,North Melbourne,1967.0,,3.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.95214,-37.80161,40.968,39.604,47.932,45.357,44.395,43.286,48.77,48.364,35.649,36.639,46.984,44.257
147,2019,107,108561,108561,Space Hotel,380-388 Russell Street MELBOURNE 3000,Melbourne (CBD),1963.0,2010.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9661,-37.80748,287.176,313.99,390.8,385.627,336.524,312.867,335.389,373.266,345.63,376.953,335.303,334.587
148,2019,514,100970,100970,,300-302 Bellair Street KENSINGTON VIC 3031,Kensington,,,1.0,Commercial Accommodation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,,,144.93119,-37.7977,23.198,22.625,24.65,22.867,21.549,22.075,23.968,23.878,20.885,22.981,23.44,23.792
149,2019,94,103218,103218,City Edge Apartment Hotel,399-411 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1934.0,2009.0,6.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.96064,-37.80956,118.688,130.753,152.812,137.911,127.113,115.946,122.332,132.093,116.204,305.173,280.793,273.149
150,2019,115,103295,103295,,490-494 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1900.0,1989.0,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96043,-37.80736,333.524,332.361,374.217,343.718,327.136,334.099,363.944,360.81,312.798,340.884,351.704,352.893
151,2019,114,104095,104095,Stargate Apartment Complex,114-122 Franklin Street MELBOURNE 3000,Melbourne (CBD),2001.0,,11.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,True,144.95892,-37.80822,422.663,421.014,491.844,453.94,437.502,446.653,482.764,477.383,411.96,446.494,452.131,445.777
152,2019,807,108054,108054,Crown Promenade Hotel,40-56 Queens Bridge Street SOUTHBANK VIC 3006,Southbank,2003.0,2009.0,23.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,False,144.96001,-37.82399,246.672,221.079,239.657,211.432,203.763,176.635,194.153,190.552,180.369,224.965,196.55,211.583
153,2019,710,108617,108617,Royce on St. Kilda Road,Royce Hotel 375-385 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),1928.0,2006.0,5.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,False,144.97554,-37.83509,197.152,140.096,156.074,138.314,113.8,98.575,110.306,110.792,108.471,124.409,116.989,140.121
154,2019,53,105855,105855,Mantra On Little Bourke,459-475 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1982.0,2006.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,4.0,True,144.95904,-37.81459,456.741,449.565,493.921,467.2,462.279,435.376,473.297,486.693,459.126,501.137,494.011,534.535
155,2019,438,105367,105367,,356-362 King Street WEST MELBOURNE 3003,West Melbourne (Residential),1870.0,2016.0,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95236,-37.80832,70.497,67.321,75.83,72.395,67.863,72.139,81.202,78.599,58.175,61.079,77.518,76.68
156,2019,27,541562,102071,Grand Hyatt Melbourne,121-131 Collins Street MELBOURNE 3000,Melbourne (CBD),1986.0,2008.0,29.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96988,-37.81508,167.211,194.165,202.9,175.618,213.105,176.973,202.903,204.163,195.017,401.062,413.063,460.471
157,2019,812,110354,110354,Opus tower,57-61 City Road SOUTHBANK VIC 3006,Southbank,2015.0,,37.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,357.0,False,144.96599,-37.82216,517.567,506.349,480.795,512.5,508.682,466.805,514.047,520.143,434.893,540.521,444.496,480.593
158,2019,17,574438,574438,Adina Apartments,84-94 Flinders Street MELBOURNE 3000,Melbourne (CBD),2001.0,,18.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97168,-37.81595,317.833,355.245,381.961,337.753,381.803,327.408,377.209,380.72,332.267,163.178,326.256,316.849
159,2019,61,105857,105857,Hotel Ibis,594-600 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1998.0,,11.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95457,-37.81537,338.852,469.039,503.035,405.409,425.151,420.87,548.005,571.909,358.944,381.352,398.664,299.8
160,2019,68,105671,105671,Quest on Lonsdale,43-51 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),1966.0,2008.0,7.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.9709,-37.81,304.351,311.387,351.443,362.629,333.527,322.755,336.63,365.556,345.129,373.572,338.907,327.611
161,2019,81,108960,108960,Atlantis Tower & Hotel,284-302 Spencer Street MELBOURNE 3000,Melbourne (CBD),2009.0,,37.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,True,144.95205,-37.81371,214.897,240.581,261.199,228.2,259.443,227.165,264.743,265.65,233.599,265.39,250.843,223.614
162,2019,114,103234,103234,Jasper Hotel,489-499 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),1975.0,2007.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95963,-37.8075,503.368,499.671,577.12,532.48,511.88,524.607,568.939,561.486,484.1,524.291,536.426,531.113
163,2019,115,109491,109491,Hotel Ibis,15-21 Therry Street MELBOURNE 3000,Melbourne (CBD),1990.0,,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9614,-37.80711,495.979,612.557,848.585,796.95,638.238,620.404,674.631,687.206,591.774,644.827,598.147,565.423
164,2019,53,110145,110145,Quest on William,170-176 William Street MELBOURNE 3000,Melbourne (CBD),1967.0,2008.0,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95822,-37.81492,342.428,356.834,393.312,370.733,402.262,361.717,398.916,401.601,362.184,404.032,383.66,354.127
165,2019,330,100519,100519,The British,162-168 Arden Street NORTH MELBOURNE 3051,North Melbourne,1865.0,2005.0,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.94623,-37.80032,26.157,25.244,30.473,28.875,28.202,27.635,31.151,30.834,22.635,23.258,29.982,28.293
166,2019,104,104085,104085,,167-175 Franklin Street MELBOURNE 3000,Melbourne (CBD),1928.0,1997.0,5.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95916,-37.80898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.326,927.246,873.373
167,2019,11,103985,103985,Markilles Hotel,562-564 Flinders Street MELBOURNE 3000,Melbourne (CBD),1918.0,2009.0,5.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95563,-37.8206,438.802,497.721,498.613,454.147,554.975,413.092,479.56,481.745,339.399,629.624,495.119,475.438
