,Census year,Block ID,Property ID,Base property ID,Building name,Street address,CLUE small area,Construction year,Refurbished year,Number of floors (above ground),Predominant space use,Accessibility type,Accessibility type description,Accessibility rating,Bicycle spaces,Has showers,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
73,2019,71,105318,105318,Hotel Sophia,277-287 King Street MELBOURNE 3000,Melbourne (CBD),1955.0,2012.0,7.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,,144.9542,-37.81368,223.905,249.384,270.847,237.122,270.089,235.78,273.98,274.609,243.519,277.023,261.307,233.736
74,2019,904,556742,556742,Vibe Hotel,419-443 Royal Parade PARKVILLE 3052,Parkville,1960.0,,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95882,-37.7829,22.414,28.629,48.607,36.197,39.21,22.287,27.096,42.7,34.228,33.724,28.593,23.173
75,2019,87,103631,103631,Fraser Place Melbourne,17-19 Exploration Lane MELBOURNE 3000,Melbourne (CBD),2009.0,,14.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,4.0,True,144.96808,-37.80895,212.27,239.599,287.384,271.348,308.163,256.015,272.962,312.4,274.671,295.131,256.007,258.721
76,2019,441,108856,108856,Hotel Spencer,475-477 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),1916.0,,4.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.94925,-37.80957,160.587,166.768,183.779,173.409,187.222,169.887,185.661,186.084,165.564,187.533,177.739,163.818
77,2019,804,692410,110484,Novotel Melbourne South Wharf Hotel,Novotel Melbourne South Wharf Hotel 7 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,2018.0,,28.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9523,-37.82539,146.301,163.623,170.046,151.512,181.205,155.834,173.284,171.032,157.455,190.33,167.534,151.388
78,2019,32,102118,102118,Collins Street Tower,480-490 Collins Street MELBOURNE 3000,Melbourne (CBD),1966.0,2005.0,21.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.95797,-37.81764,430.525,453.052,497.366,462.331,511.374,456.617,507.263,506.904,455.27,514.774,486.161,442.627
79,2019,103,100160,100160,Nomads Melbourne,196-200 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),1967.0,2005.0,6.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,,144.95744,-37.80999,85.197,79.607,90.597,88.325,82.299,89.431,101.868,97.337,65.88,233.567,249.391,238.45
80,2019,362,109843,109843,National Hotel,232-238 Victoria Street MELBOURNE 3000,North Melbourne,,,4.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95859,-37.80593,139.651,147.793,169.928,155.0,145.977,133.454,145.971,155.998,137.497,154.785,145.832,145.9
81,2019,11,103984,103984,Nomads All Nations Backpacker Hotel,566-580 Flinders Street MELBOURNE 3000,Melbourne (CBD),1913.0,2000.0,4.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95534,-37.82071,456.798,518.761,519.061,472.825,578.771,431.809,500.92,503.02,358.483,654.735,515.142,493.344
82,2019,736,680222,559332,East Tower,42 Balston Street SOUTHBANK VIC 3006,Southbank,2017.0,,38.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,162.0,True,144.96249,-37.82673,394.643,305.4,361.502,429.825,298.17,290.469,334.872,316.964,301.552,323.828,308.206,314.637
83,2019,33,102131,110666,,394 Collins Street MELBOURNE 3000,Melbourne (CBD),1876.0,2008.0,9.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.96108,-37.81662,290.116,373.889,376.69,403.9,413.026,376.854,416.163,422.131,347.349,431.354,354.937,383.7
84,2019,366,105028,105028,YHA Melbourne Metro,76-86 Howard Street NORTH MELBOURNE 3051,North Melbourne,1960.0,,4.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,2.0,,144.9545,-37.80305,57.702,55.732,67.208,63.639,62.165,60.858,68.587,67.941,50.07,51.505,66.029,62.339
85,2019,103,110139,110139,Radisson on Flagstaff Gardens Hotel,370-384 William Street MELBOURNE 3000,Melbourne (CBD),1974.0,1997.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.95612,-37.81032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,451.004,421.925,397.106
86,2019,103,621413,621413,Pegasus Apartment Hotel,206-216 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),2012.0,,25.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,72.0,,144.95708,-37.81006,79.76,74.527,84.816,82.688,77.047,83.724,95.367,91.125,61.676,214.878,229.98,219.938
87,2019,18,104033,104033,Hotel Lindrum,26-30 Flinders Street MELBOURNE 3000,Melbourne (CBD),1900.0,1999.0,5.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,,144.97359,-37.81529,395.406,452.384,477.586,417.174,494.445,413.063,475.574,488.053,437.11,371.605,428.808,379.365
88,2019,48,108983,108983,The Hotel  Windsor,103-137 Spring Street MELBOURNE 3000,Melbourne (CBD),1888.0,1984.0,5.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,0.0,True,144.97292,-37.81199,216.822,241.812,258.524,242.555,272.832,240.239,270.783,214.03,241.482,265.112,111.008,213.074
89,2019,353,101848,101848,Apartments on Chapman,76-78 Chapman Street NORTH MELBOURNE 3051,North Melbourne,,2011.0,3.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.9479,-37.79531,13.73,19.1,40.983,32.511,44.206,22.191,22.989,42.072,29.487,26.75,17.54,10.424
90,2019,801,570811,570811,Travelodge,Travelodge 9 Riverside Quay SOUTHBANK VIC 3006,Southbank,2002.0,,13.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96524,-37.82133,1030.134,861.089,997.901,1176.477,893.676,876.45,1001.78,963.973,912.658,968.965,939.103,934.127
91,2019,68,105902,105902,City Limits Motel,20-22 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1978.0,2004.0,9.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.97181,-37.81045,272.097,307.224,330.495,292.42,335.474,284.454,324.874,347.229,298.177,167.072,323.233,285.346
92,2019,812,110350,110350,Gallery Tower  Apartments,Gallery Tower 27-33 City Road SOUTHBANK VIC 3006,Southbank,2002.0,,19.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,16.0,True,144.96686,-37.82173,1062.974,1071.645,1107.909,765.459,909.923,857.507,944.878,965.708,929.649,1068.182,1029.043,1097.545
93,2019,51,105307,105307,,197-199 King Street MELBOURNE 3000,Melbourne (CBD),1926.0,1997.0,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95503,-37.81558,331.002,455.865,489.037,394.851,414.888,409.505,531.956,554.733,350.865,373.456,389.342,294.206
94,2019,11,108972,108972,,10-22 Spencer Street MELBOURNE 3000,Melbourne (CBD),1890.0,2006.0,5.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.95525,-37.82051,444.585,452.924,482.24,444.988,472.553,203.601,258.769,276.838,0.0,810.271,519.918,668.707
95,2019,753,110323,110380,Langham Hotel,Langham Hotel 1 Southgate Avenue SOUTHBANK VIC 3006,Southbank,1992.0,2001.0,20.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9663,-37.82071,1005.413,1057.916,1028.759,0.0,334.467,477.757,573.214,593.581,572.664,661.964,671.255,625.955
96,2019,815,110387,110387,Bella hotel apartments,248-254 City Road SOUTHBANK VIC 3006,Southbank,2015.0,,34.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,False,144.95963,-37.82568,200.317,180.462,195.791,172.566,167.252,144.605,158.995,156.085,147.651,185.471,161.835,173.635
97,2019,47,101122,101122,Quest on Bourke,151-163 Bourke Street MELBOURNE 3000,Melbourne (CBD),1936.0,1999.0,7.0,Commercial Accommodation,High level of accessibility,Main Entrance has ramp,3.0,0.0,,144.96884,-37.81288,442.064,456.17,512.245,521.459,487.486,470.922,498.682,494.727,498.195,557.819,415.717,463.738
98,2019,37,105915,105915,Stamford Plaza Hotel,121-127 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1990.0,2012.0,17.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96977,-37.81369,321.295,365.256,384.001,356.762,387.405,341.698,383.671,384.025,375.319,403.503,328.127,337.555
99,2019,51,101169,101169,Alto Hotel on Bourke,636-638 Bourke Street MELBOURNE 3000,Melbourne (CBD),1916.0,2006.0,6.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95471,-37.81628,392.463,535.917,575.231,466.138,491.059,482.604,624.331,650.277,416.254,444.226,461.24,351.202
100,2019,68,105669,105669,Oaks on Lonsdale,23-33 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),2006.0,,30.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.97138,-37.80989,317.397,338.129,361.84,366.834,346.566,328.069,351.4,379.366,350.757,362.366,339.291,340.122
101,2019,732,110375,110375,Aria Serviced Apartments,285-291 City Road SOUTHBANK VIC 3006,Southbank,2006.0,,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,False,144.95878,-37.82743,163.857,148.53,161.189,141.977,138.545,119.946,131.867,129.461,122.467,153.588,134.222,143.085
102,2019,95,105989,105989,,22-32 Little La Trobe Street MELBOURNE 3000,Melbourne (CBD),2014.0,,18.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,39.0,True,144.96267,-37.80917,0.0,0.0,0.0,0.0,0.0,0.0,564.892,749.726,604.746,1041.567,808.756,703.255
103,2019,380,103825,103825,,9-15 Murphy Street NORTH MELBOURNE 3051,North Melbourne,,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.95155,-37.79745,31.557,44.693,83.307,60.347,68.319,33.631,42.122,73.742,56.689,54.087,42.773,30.648
104,2019,53,108074,108074,Adina,185-199 Queen Street MELBOURNE 3000,Melbourne (CBD),1980.0,2007.0,22.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95997,-37.81429,542.43,537.124,588.163,552.827,550.711,517.505,563.385,578.101,543.854,598.406,589.174,633.905
105,2019,58,105828,105828,Ovolo,19-25 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1991.0,1996.0,6.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97199,-37.81074,262.522,296.136,316.67,320.881,303.645,286.353,311.268,356.339,324.051,300.994,303.074,305.443
106,2019,810,110367,110367,,167-169 City Road SOUTHBANK VIC 3006,Southbank,2018.0,,16.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,15.0,False,144.9625,-37.8244,486.784,479.479,506.918,450.32,475.682,394.15,434.322,444.703,389.707,579.986,511.519,579.609
107,2019,570,103391,103391,,Quest Flemington Inn 552-600 Epsom Road FLEMINGTON VIC 3031,Kensington,2000.0,1970.0,4.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,,False,144.92186,-37.78883,15.814,15.436,16.828,15.598,14.714,15.065,16.38,16.314,14.273,15.687,16.012,16.239
108,2019,356,104126,104126,,2 Gardiner Street NORTH MELBOURNE 3051,North Melbourne,,,1.0,Commercial Accommodation,Not determined or not applicable,Building is not considered to be publicly accessible so access has not been rated,0.0,0.0,,144.95347,-37.80445,53.134,55.702,64.268,59.053,54.822,52.637,56.991,59.162,49.292,55.344,57.078,57.624
109,2019,806,110478,640947,Crown Metropol,Crown Metropol Hotel 57-91 Clarendon Street SOUTHBANK VIC 3006,Southbank,2010.0,,29.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95861,-37.82576,447.391,350.163,386.985,336.329,274.232,231.859,255.209,248.244,244.944,301.847,264.226,327.824
110,2019,61,105308,105308,Former YHA Building,203-207 King Street MELBOURNE 3000,Melbourne (CBD),1913.0,2000.0,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.95497,-37.81539,323.245,446.235,478.642,386.104,405.358,400.621,520.995,543.493,342.556,364.317,380.279,286.725
111,2019,730,110401,110401,,334-342 City Road SOUTHBANK VIC 3006,Southbank,1950.0,2005.0,6.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95735,-37.82784,247.199,268.811,292.196,260.877,296.035,241.045,290.273,293.741,261.548,300.433,284.243,261.906
112,2019,33,100729,100729,Metro Apartments Bank Place,18-20 Bank Place MELBOURNE 3000,Melbourne (CBD),1906.0,2000.0,10.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.96052,-37.81643,223.621,265.985,316.384,304.607,308.777,278.211,309.848,318.088,303.656,326.855,322.655,327.298
113,2019,77,105762,105762,Melbourne Marriott Hotel,92-106 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),1982.0,2001.0,17.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.96914,-37.80989,427.631,451.569,488.265,501.085,473.479,448.054,475.058,517.504,475.139,492.612,459.475,461.329
114,2019,67,102047,102047,Punt Hill Apartment Hotel,11-17 Cohen Place MELBOURNE 3000,Melbourne (CBD),2000.0,,11.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.96894,-37.81104,286.203,310.028,350.19,349.95,386.343,335.905,352.806,391.793,354.589,384.749,339.204,319.882
115,2019,93,110140,110140,Art on the Park/Singers Lane,330-352 William Street MELBOURNE 3000,Melbourne (CBD),2013.0,,37.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.95658,-37.81125,172.705,174.703,209.648,193.189,195.204,187.227,200.822,207.545,187.233,220.937,193.911,219.277
116,2019,41,108966,108966,The Savoy Hotel on Little Collins,626-636 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1928.0,1991.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95393,-37.81777,587.402,781.539,840.043,686.98,731.388,707.03,904.188,937.953,625.371,673.427,689.822,538.115
117,2019,18,103917,103917,Manhattan Apartments,57-59 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1926.0,1998.0,8.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.97281,-37.81499,462.793,530.868,560.141,487.459,580.363,484.776,557.059,570.733,518.027,451.358,519.673,459.781
118,2019,11,108971,108971,Holiday Inn on Flinders,561-585 Flinders Lane MELBOURNE 3000,Melbourne (CBD),1990.0,1997.0,9.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.9551,-37.8202,521.96,561.008,602.983,558.985,635.035,555.412,624.872,624.973,559.62,630.016,586.79,526.465
119,2019,811,110362,110362,WRAP Residence,WRAP Residences 133-139 City Road SOUTHBANK VIC 3006,Southbank,2014.0,,43.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,50.0,False,144.96358,-37.82348,609.494,499.859,585.15,691.378,513.338,504.3,577.709,553.549,527.077,556.345,541.18,539.386
120,2019,355,109803,109803,,448 Victoria Street NORTH MELBOURNE 3051,North Melbourne,1880.0,2011.0,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,5.0,,144.95135,-37.80506,44.135,46.361,53.534,49.163,45.612,43.729,47.292,49.155,40.988,46.082,47.424,47.905
121,2019,58,103621,103621,Rydges Melbourne Hotel,174-192 Exhibition Street MELBOURNE 3000,Melbourne (CBD),1972.0,2009.0,24.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97063,-37.81123,276.419,299.695,316.766,311.771,306.939,290.483,323.313,260.564,297.268,341.074,144.59,273.645
122,2019,87,101028,101028,Fraser Place Melbourne,10-14 Bennetts Lane MELBOURNE 3000,Melbourne (CBD),2010.0,,14.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.96792,-37.80905,403.679,429.285,483.979,483.405,444.712,419.91,447.985,495.094,451.91,467.584,433.277,454.137
123,2019,33,110667,110666,,394 Collins Street MELBOURNE 3000,Melbourne (CBD),1875.0,2008.0,9.0,Commercial Accommodation,Moderate level of accessibility,Main entrance has steps; Alternative entrance is step free or has ramp,2.0,0.0,True,144.96108,-37.81662,290.116,373.889,376.69,403.9,413.026,376.854,416.163,422.131,347.349,431.354,354.937,383.7
124,2019,353,103466,103466,Mecure North Melbourne,265-281 Errol Street NORTH MELBOURNE 3051,North Melbourne,1966.0,,3.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.95022,-37.79663,12.037,16.55,30.229,24.873,31.789,17.933,19.078,30.246,22.247,21.0,14.96,8.896
125,2019,41,105299,105299,Ibis Styles Hotel,131-137 King Street MELBOURNE 3000,Melbourne (CBD),1926.0,2010.0,7.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9555,-37.81708,392.541,525.942,565.052,460.817,489.408,475.236,609.487,632.861,417.627,448.863,461.208,357.55
126,2019,68,105901,105901,Gordon Place Apartments,24-38 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1884.0,2003.0,3.0,Commercial Accommodation,Moderate level of accessibility,Entrance(s) have limited access via a small lip or a steep ramp,2.0,0.0,,144.97141,-37.81034,341.739,364.128,389.525,394.672,372.801,352.952,378.212,408.08,377.47,389.934,365.209,366.019
127,2019,22,102103,102103,Intercontinental Melbourne The Rialto,487-503 Collins Street MELBOURNE 3000,Melbourne (CBD),1890.0,2008.0,12.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,10.0,True,144.95812,-37.81854,363.35,382.781,419.939,391.374,430.746,385.23,426.597,427.59,383.91,433.675,410.379,373.628
128,2019,914,106773,106773,,48 Morrah Street PARKVILLE 3052,Parkville,1873.0,,2.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.95595,-37.7953,21.967,29.322,54.847,42.821,51.154,25.905,29.24,44.41,38.943,38.011,31.428,20.364
129,2019,58,105831,105831,Crossley Hotel,47-55 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),1962.0,2004.0,7.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,True,144.97111,-37.81102,202.767,226.432,237.466,222.427,238.303,216.518,247.096,183.122,221.571,261.674,86.595,194.99
130,2019,11,103986,103986,Flinders Tower,556-560 Flinders Street MELBOURNE 3000,Melbourne (CBD),2016.0,,30.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,,144.95577,-37.82061,428.504,485.582,486.649,443.328,541.137,401.298,466.053,468.333,329.621,616.673,483.65,466.095
131,2019,37,105914,105914,Stamford Plaza Melbourne,109-119 Little Collins Street MELBOURNE 3000,Melbourne (CBD),1990.0,2012.0,18.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.97003,-37.81355,327.403,373.09,392.145,362.672,396.837,348.203,391.197,396.318,383.78,410.728,345.455,344.798
132,2019,21,108970,108970,Great Southern Hotel (Former Hotel Enterprize),44-64 Spencer Street MELBOURNE 3000,Melbourne (CBD),1950.0,2009.0,9.0,Commercial Accommodation,Not determined or not applicable,Configuration of entrance does not fit into any of the other categories,0.0,12.0,True,144.95478,-37.81973,649.053,697.522,751.456,694.676,788.191,687.16,776.236,776.933,695.814,782.708,731.355,657.279
133,2019,925,103899,103899,Park Square Motor Inn And Serviced Apartments,86-94 Flemington Road PARKVILLE 3052,Parkville,1975.0,,3.0,Commercial Accommodation,Low level of accessibility,All entrances have steps,1.0,0.0,,144.9423,-37.7885,8.653,11.525,21.539,16.852,20.144,10.212,11.5,17.367,15.314,14.965,12.401,8.018
134,2019,804,623559,110484,Pan Pacific,Pan Pacific Melbourne 2 Convention Centre Place SOUTH WHARF VIC 3006,Southbank,2009.0,,22.0,Commercial Accommodation,High level of accessibility,Main Entrance is at grade and has no steps or ramp,3.0,0.0,True,144.9523,-37.82539,146.301,163.623,170.046,151.512,181.205,155.834,173.284,171.032,157.455,190.33,167.534,151.388
