,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x,y
111,2019,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Mui Karaoke,243,144.96436,-37.81143
112,2019,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Bornga,40,144.96436,-37.81143
113,2019,85,109304,109304,301-303 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cheek,98,144.96419,-37.81108
114,2019,327,102352,102352,171-173 Curzon Street NORTH MELBOURNE 3051,North Melbourne,Albion Hotel,100,144.94855,-37.7989
115,2019,345,103393,103393,7 Errol Street NORTH MELBOURNE 3051,North Melbourne,Joe Taylor,60,144.94901,-37.8048
116,2019,345,103402,103402,33 Errol Street NORTH MELBOURNE 3051,North Melbourne,Townhall Hotel North Melbourne,80,144.9488,-37.80412
117,2019,347,110920,110920,161-163 Errol Street NORTH MELBOURNE 3051,North Melbourne,Limerick Castle Hotel & Restaurant,50,144.94964,-37.80116
118,2019,355,105636,105636,46-50 Leveson Street NORTH MELBOURNE 3051,North Melbourne,The Leveson,400,144.95146,-37.8037
119,2019,358,107887,107887,351-359 Queensberry Street NORTH MELBOURNE 3051,North Melbourne,Bobbie Peels,240,144.95597,-37.80396
120,2019,358,109829,109829,312-316 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Victoria Hotel,130,144.9557,-37.80563
121,2019,361,109842,109842,240-248 Victoria Street NORTH MELBOURNE 3051,North Melbourne,Central Club Hotel,150,144.95812,-37.80591
122,2019,362,109843,109843,232-238 Victoria Street MELBOURNE 3000,North Melbourne,The Last Chance Rock & Roll Bar,180,144.95859,-37.80593
123,2019,369,103507,103507,86-90 Errol Street NORTH MELBOURNE 3051,North Melbourne,The Courthouse Hotel,50,144.94996,-37.80288
124,2019,376,508976,110862,42 Courtney Street NORTH MELBOURNE 3051,North Melbourne,Metropolitan Hotel,100,144.95409,-37.80143
125,2019,377,102236,102236,56-58 Courtney Street NORTH MELBOURNE 3051,North Melbourne,The Castle Hotel,317,144.95303,-37.8009
126,2019,270,579293,104468,230 Grattan Street PARKVILLE 3010,Parkville,University House Club,611,144.96124,-37.79675
127,2019,270,664626,104468,230 Grattan Street PARKVILLE 3010,Parkville,The Ida Bar,200,144.96124,-37.79675
128,2019,904,556742,556742,419-443 Royal Parade PARKVILLE 3052,Parkville,Vibe Hotel,69,144.95882,-37.7829
129,2019,419,108876,108876,573-579 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),McMahons Hotel,160,144.94699,-37.8074
130,2019,435,107481,107481,65-67 Peel Street WEST MELBOURNE 3003,West Melbourne (Residential),The Drunken Poet Pty Ltd,50,144.9555,-37.80667
131,2019,441,108856,108856,475-477 Spencer Street WEST MELBOURNE 3003,West Melbourne (Residential),Hotel Spencer Bar & Grill,150,144.94925,-37.80957
132,2019,2530,616125,616125,RSL 25-27 Rankins Road KENSINGTON VIC 3031,Kensington,Flemington & Kensington RSL Club,90,144.9322,-37.78932
133,2019,2530,616160,616160,The Quiet Man Hotel 265-271 Racecourse Road KENSINGTON VIC 3031,Kensington,The Quiet Man Irishman  Pub,400,144.93237,-37.78861
134,2019,2538,616156,616156,40-48 Stubbs Street KENSINGTON VIC 3031,Kensington,Bonehead Brewing,80,144.93519,-37.79045
135,2019,508,100820,100820,38-44 Barrett Street KENSINGTON VIC 3031,Kensington,Henry St Brewhouse,75,144.93434,-37.7981
136,2019,103,100160,100160,196-200 A'Beckett Street MELBOURNE 3000,Melbourne (CBD),Nomads Melbourne,200,144.95744,-37.80999
137,2019,103,104086,104086,211-213 Franklin Street MELBOURNE 3000,Melbourne (CBD),Island Somewhere/Pinball Paradise,120,144.95784,-37.80968
138,2019,104,103219,103219,413-417 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Workshop,230,144.96052,-37.80919
139,2019,105,103301,103301,442-450 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Kicks,365,144.96086,-37.80831
140,2019,107,108561,108561,380-388 Russell Street MELBOURNE 3000,Melbourne (CBD),Blue Moon Bar,170,144.9661,-37.80748
141,2019,11,103984,103984,566-580 Flinders Street MELBOURNE 3000,Melbourne (CBD),UBar,128,144.95534,-37.82071
142,2019,11,103993,103993,508-514 Flinders Street MELBOURNE 3000,Melbourne (CBD),Waterside Hotel,983,144.95715,-37.82017
143,2019,11,105294,105294,27-31 King Street MELBOURNE 3000,Melbourne (CBD),State Of Grace,200,144.95695,-37.81976
144,2019,11,108971,108971,561-585 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Holiday Inn On Flinders Melbourne,100,144.9551,-37.8202
145,2019,115,104103,104103,34-38 Franklin Street MELBOURNE 3000,Melbourne (CBD),Captain Melville,355,144.96162,-37.80752
146,2019,12,103994,103994,502-504 Flinders Street MELBOURNE 3000,Melbourne (CBD),Insignia on Flinders,100,144.95766,-37.82006
147,2019,12,104824,104824,11A Highlander Lane MELBOURNE 3000,Melbourne (CBD),Highlander Bar,202,144.95797,-37.8197
148,2019,12,105399,105399,26-32 King Street MELBOURNE 3000,Melbourne (CBD),Clique Bar,222,144.95747,-37.81953
149,2019,12,105401,105401,14-20 King Street MELBOURNE 3000,Melbourne (CBD),Spearmint Rhino Gentlemen's Club,660,144.95771,-37.81978
150,2019,12,105401,105401,14-20 King Street MELBOURNE 3000,Melbourne (CBD),Tramp Bar,260,144.95771,-37.81978
151,2019,17,103592,103592,11-37 Exhibition Street MELBOURNE 3000,Melbourne (CBD),The Fair Trader Cafe,118,144.97173,-37.81546
152,2019,17,103922,103922,95-101 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Garden State Hotel,840,144.9711,-37.81553
153,2019,17,103924,103924,107-109 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Jack & Bones,230,144.97083,-37.81561
154,2019,17,103925,103925,121-123 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Sake Restaurant and Bar,350,144.97051,-37.81567
155,2019,17,103926,103926,125-127 Flinders Lane MELBOURNE 3000,Melbourne (CBD),GoGo Bar,300,144.9704,-37.81569
156,2019,17,103928,103928,133-135 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Meatball & Wine Bar,110,144.97016,-37.81574
157,2019,17,574438,574438,84-94 Flinders Street MELBOURNE 3000,Melbourne (CBD),Eau-De-Vie,150,144.97168,-37.81595
158,2019,18,103914,103914,31-35 Flinders Lane MELBOURNE 3000,Melbourne (CBD),White Lane by Food & Desire,250,144.97329,-37.8149
159,2019,18,108977,108977,25-31 Spring Street MELBOURNE 3000,Melbourne (CBD),HiHou,80,144.9741,-37.81455
160,2019,21,606461,606461,607-623 Collins Street MELBOURNE 3000,Melbourne (CBD),Batman's Hill On Collins Hotel,1500,144.95469,-37.81929
161,2019,22,105394,105394,62-66 King Street MELBOURNE 3000,Melbourne (CBD),KSR Art Bar,240,144.95715,-37.81875
162,2019,23,102098,102098,415-417 Collins Street MELBOURNE 3000,Melbourne (CBD),The Sherlock Holmes Inn,131,144.96087,-37.81747
163,2019,23,102099,102099,419-429 Collins Street MELBOURNE 3000,Melbourne (CBD),Ms Collins,850,144.96065,-37.81753
164,2019,23,106436,106436,54-60 Market Street MELBOURNE 3000,Melbourne (CBD),Oak & Vine Bar,370,144.96082,-37.81778
165,2019,27,102064,102064,69-73 Collins Street MELBOURNE 3000,Melbourne (CBD),Harley House,210,144.97135,-37.81434
