,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x,y
213,2019,63,105867,105867,428-432 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Denmark House/The Danish Club,100,144.95973,-37.81393
214,2019,67,102198,102198,22-26 Corrs Lane MELBOURNE 3000,Melbourne (CBD),Playground,50,144.96832,-37.811
215,2019,67,102199,102199,16-20 Corrs Lane MELBOURNE 3000,Melbourne (CBD),Euro House / Pulp Club,200,144.96839,-37.81113
216,2019,67,102199,102199,16-20 Corrs Lane MELBOURNE 3000,Melbourne (CBD),House of Maximon / Berlin Bar,300,144.96839,-37.81113
217,2019,67,102200,102200,12-14 Corrs Lane MELBOURNE 3000,Melbourne (CBD),Fad Gallery,80,144.96843,-37.81123
218,2019,67,105673,105673,103-105 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Bomba Tapas Bar and Rooftop,145,144.96925,-37.81049
219,2019,67,105675,105675,113 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Seamstress,160,144.96901,-37.81057
220,2019,67,108581,108581,226-236 Russell Street MELBOURNE 3000,Melbourne (CBD),Heartbreaker,166,144.96764,-37.81098
221,2019,68,105900,105900,40-46 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Longsong,250,144.97118,-37.81059
222,2019,71,105318,105318,277-287 King Street MELBOURNE 3000,Melbourne (CBD),Hotel Sophia,116,144.9542,-37.81368
223,2019,72,110106,110106,263-267 William Street MELBOURNE 3000,Melbourne (CBD),Metropolitan Hotel,300,144.95658,-37.81292
224,2019,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),Whisky and Alement,90,144.96716,-37.81011
225,2019,77,108573,108573,270 Russell Street MELBOURNE 3000,Melbourne (CBD),Melbourne Whisky Room,50,144.96716,-37.81011
226,2019,78,103618,103618,242-284 Exhibition Street MELBOURNE 3000,Melbourne (CBD),Coopers Inn,400,144.96998,-37.80942
227,2019,78,110724,580091,17 Casselden Place MELBOURNE 3000,Melbourne (CBD),Little Lon Distilling Co.,20,144.97073,-37.8092
228,2019,87,106057,106057,106 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Troika Bar,60,144.96859,-37.80915
229,2019,87,106059,106059,100 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Gami Chicken and Beer,73,144.96872,-37.80914
230,2019,87,108567,108567,300 Russell Street MELBOURNE 3000,Melbourne (CBD),Jankara Karaoke,80,144.9669,-37.80952
231,2019,95,109314,109314,401-405 Swanston Street MELBOURNE 3000,Melbourne (CBD),Imix Club & Bar,360,144.96322,-37.80904
232,2019,95,109314,109314,401-405 Swanston Street MELBOURNE 3000,Melbourne (CBD),Little Jax,189,144.96322,-37.80904
233,2019,96,606638,105490,124 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Pearson and Murphy's Cafe,156,144.96455,-37.80818
234,2019,97,105493,105493,52 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Karaoke Box,300,144.96725,-37.80829
235,2019,710,108617,108617,Royce Hotel 375-385 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Royce Hotel,120,144.97554,-37.83509
236,2019,724,106798,106798,557 St Kilda Road MELBOURNE VIC 3004,Melbourne (Remainder),Ormond Collective,350,144.98134,-37.84752
237,2019,730,110401,110401,334-342 City Road SOUTHBANK VIC 3006,Southbank,Urban Central Accomodation/Bar334,290,144.95735,-37.82784
238,2019,730,110473,110473,65-73 Haig Street SOUTHBANK VIC 3006,Southbank,The Backlot Studios,78,144.95656,-37.82788
239,2019,733,110399,110399,105-107 Clarendon Street SOUTHBANK VIC 3006,Southbank,The Cloakroom Bar,50,144.95825,-37.82712
240,2019,752,108653,110733,Theatres 100 St Kilda Road SOUTHBANK VIC 3006,Southbank,The Barre,300,144.96817,-37.82095
241,2019,753,110606,110380,Southgate 3 Southgate Avenue SOUTHBANK VIC 3006,Southbank,Waterslide Bar,200,144.9663,-37.82071
242,2019,753,110606,110380,Southgate 3 Southgate Avenue SOUTHBANK VIC 3006,Southbank,P J O'Briens Irish Pub & Side Bar,549,144.9663,-37.82071
243,2019,801,110326,110326,4 Riverside Quay SOUTHBANK VIC 3006,Southbank,Soho Restaurant & Bar,200,144.96338,-37.82092
244,2019,801,110335,110335,1-9 Southbank Boulevard SOUTHBANK VIC 3006,Southbank,Left Bank Melbourne,400,144.96286,-37.82106
245,2019,801,559161,559161,Eureka Tower 3-7 Riverside Quay SOUTHBANK VIC 3006,Southbank,Belgian Beer Cafe Melbourne,638,144.96453,-37.82167
246,2019,803,111175,110477,Crown Entertainment Complex 8 Whiteman Street SOUTHBANK VIC 3006,Southbank,R Bar by Rockpool,120,144.95835,-37.82315
