,Theme,Sub Theme,Feature Name,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
35,Place Of Assembly,Theatre Live,FairFax Studio,144.9688362,-37.82166846,1220.61,904.483,1065.912,948.323,791.185,708.756,794.634,766.4,759.378,871.203,743.764,950.855
36,Place Of Assembly,Theatre Live,Playhouse,144.9683378,-37.82181246,927.288,553.869,853.067,1192.65,887.32,817.863,937.458,896.455,867.33,970.639,696.842,1017.093
37,Place Of Assembly,Theatre Live,State Theatre,144.9684696,-37.82128063,1432.699,1063.125,1253.901,1093.966,932.689,839.137,942.089,908.172,898.705,1028.195,880.266,1118.098
38,Education Centre,Tertiary (University),University of Melbourne (VCA and Music),144.9693325,-37.82411377,508.411,299.987,466.366,676.08,489.085,448.4,513.388,491.055,475.538,533.721,379.288,561.554
39,Place Of Assembly,Theatre Live,St Martins Youth Arts Centre,144.9811422,-37.83524295,113.335,64.872,105.758,158.851,113.949,108.875,126.445,122.48,117.159,130.646,91.46,134.573
40,Leisure/Recreation,Major Sports & Recreation Facility,Flemington Racecourse,144.912143,-37.79080826,9.155,9.624,9.866,9.879,11.057,9.884,10.983,11.131,9.562,10.889,9.8,8.941
41,Place Of Assembly,Theatre Live,Princess Theatre,144.9723266,-37.81072571,250.259,282.328,302.017,304.828,290.419,272.814,296.944,339.255,307.987,283.258,289.257,290.324
42,Place Of Assembly,Theatre Live,Regent Theatre,144.9679167,-37.81600147,883.344,835.509,940.382,953.778,893.214,846.409,935.41,936.148,878.216,1091.288,1125.454,1344.968
43,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Cricket Ground (MCG),144.9834029,-37.81949216,84.215,80.03,86.391,84.923,100.718,85.092,100.354,112.766,91.06,40.779,104.622,86.785
44,Zoo,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Zoo,144.9513712,-37.78444493,28.376,27.901,35.986,31.308,32.217,27.321,29.006,33.562,30.069,32.22,30.682,31.247
45,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Exhibition Centre,144.9543524,-37.82524551,128.054,138.676,147.996,131.86,150.699,128.947,142.519,140.285,129.557,160.578,146.342,139.657
46,Place Of Assembly,Function/Conference/Exhibition Centre,Melbourne Convention Centre,144.9522883,-37.82490405,158.047,176.847,183.712,163.693,195.905,168.522,187.406,184.973,170.296,205.62,180.971,163.364
47,Place Of Assembly,Art Gallery/Museum,Polly Woodside,144.9534781,-37.82425743,149.096,161.87,172.591,153.682,176.179,152.459,168.326,165.521,153.488,184.644,170.205,160.674
48,Place Of Assembly,Art Gallery/Museum,Australian Centre for Contemporary Art,144.9672529,-37.82660454,193.558,195.782,173.308,110.373,136.289,135.244,151.349,155.618,122.591,163.764,126.199,135.452
49,Place Of Assembly,Theatre Live,Malthouse Theatre,144.9669368,-37.8271768,181.343,183.398,162.169,104.599,128.586,127.326,142.418,146.42,115.144,153.969,118.367,127.169
50,Place of Worship,Church,St Patricks Cathedral,144.9759015,-37.8101141,106.395,115.251,124.696,111.54,128.946,108.9,125.596,129.097,82.196,0.0,0.0,0.0
51,Place Of Assembly,Art Gallery/Museum,Victorian Arts Centre,144.9688373,-37.82199473,1118.0,827.647,972.53,892.154,716.843,637.382,712.816,688.251,683.628,788.477,670.397,866.34
52,Casino,Casino,Crown Entertainment Complex,144.9573129,-37.82357611,264.381,275.535,261.373,269.968,288.49,240.705,276.529,282.143,222.73,309.645,242.956,251.888
53,Place Of Assembly,Art Gallery/Museum,The Ian Potter Centre: NGV Australia,144.969899,-37.81748314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.838,1138.672,1464.924
54,Place Of Assembly,Art Gallery/Museum,Thoroughbred Racing Gallery,144.9839701,-37.81886627,83.332,79.85,86.196,84.409,99.607,84.126,99.319,111.755,91.013,42.061,105.274,87.645
55,Leisure/Recreation,Major Sports & Recreation Facility,AAMI Park,144.983803,-37.82472527,168.078,130.864,159.647,207.728,140.731,142.316,166.322,157.135,145.195,142.915,141.132,133.476
56,Transport,Marina,New Quay Marina,144.9422837,-37.81529255,184.002,255.963,268.115,217.792,221.566,228.635,297.243,311.622,182.894,192.82,206.218,152.266
57,Place Of Assembly,Function/Conference/Exhibition Centre,Central Pier,144.943475,-37.81651773,216.925,308.178,325.205,262.06,269.355,275.461,362.276,380.149,222.665,233.274,249.325,180.947
58,Observation Tower/Wheel,Observation Tower/Wheel,Melbourne Star Observation Wheel,144.9375889,-37.81161637,101.988,144.519,153.247,123.475,125.772,129.423,169.366,177.675,103.538,109.143,117.052,85.79
59,Place Of Assembly,Art Gallery/Museum,Fox Classic Car Collection,144.9484967,-37.82137443,315.75,450.718,476.717,384.358,404.885,404.811,531.763,556.288,335.736,351.172,369.501,268.004
60,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Wonderland Park,144.9368337,-37.81169454,97.767,138.675,147.061,118.441,120.708,124.165,162.594,170.585,99.387,104.713,112.304,82.218
61,Leisure/Recreation,Major Sports & Recreation Facility,Rod Laver Arena,144.9784872,-37.82204561,100.157,85.778,100.18,117.067,95.096,89.758,105.017,101.768,74.879,0.0,0.0,0.0
62,Leisure/Recreation,Major Sports & Recreation Facility,Melbourne Park,144.9787358,-37.8209086,265.329,206.822,252.108,327.596,222.656,224.857,262.855,248.596,228.935,224.293,221.495,209.48
63,Leisure/Recreation,Major Sports & Recreation Facility,Margaret Court Arena,144.9775911,-37.82132521,298.734,232.477,283.595,369.101,250.196,252.96,295.678,279.489,258.17,253.789,250.622,237.027
64,Leisure/Recreation,Major Sports & Recreation Facility,Hisense Arena,144.9818348,-37.82311,198.608,154.681,188.665,245.399,166.387,168.203,196.589,185.777,171.514,168.625,166.521,157.489
65,Place Of Assembly,Art Gallery/Museum,Melbourne Museum,144.9716907,-37.80355181,90.703,85.738,96.414,90.727,95.659,89.909,92.687,96.039,89.889,99.672,96.646,101.443
66,Place Of Assembly,Cinema,IMAX Melbourne,144.9706399,-37.80343156,50.657,59.637,91.763,78.72,83.673,57.549,60.973,88.231,76.763,79.5,63.019,51.58
67,Place Of Assembly,Theatre Live,MTC Theatre,144.9681744,-37.82426618,518.256,307.861,474.35,681.987,493.546,451.842,516.986,494.564,479.242,538.288,383.926,567.161
68,Place Of Assembly,Theatre Live,Hamer Hall,144.9679921,-37.8199901,1556.625,1451.242,1604.659,1604.716,1507.669,1410.135,1568.294,1565.956,1499.099,1672.56,1580.857,1694.003
69,Leisure/Recreation,Indoor Recreation Facility,Artplay,144.9715426,-37.81841988,763.497,535.8,700.846,952.885,668.211,665.365,780.263,754.465,707.223,731.125,677.122,708.408
70,Place Of Assembly,Art Gallery/Museum,National Sports Museum,144.9846698,-37.81895449,79.143,75.9,81.932,80.178,94.605,79.903,94.322,106.111,86.426,39.911,99.963,83.237
71,Leisure/Recreation,Indoor Recreation Facility,Icehouse,144.935684,-37.81218812,93.132,132.223,140.219,112.889,115.122,118.366,155.104,162.738,94.809,99.836,107.068,78.297
72,Place Of Assembly,Theatre Live,Athanaeum Theatre,144.9673225,-37.81495435,0.0,0.0,0.0,818.566,673.517,1065.538,1212.445,1527.307,940.371,0.0,0.0,0.0
73,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Riverside Park,144.9156071,-37.79483753,10.42,10.948,11.217,11.237,12.572,11.249,12.49,12.654,10.866,12.378,11.146,10.174
74,Place Of Assembly,Theatre Live,Carlton Courthouse Theatre,144.9687501,-37.79765899,116.803,111.901,138.779,121.321,130.032,105.263,106.831,126.317,114.878,123.588,115.992,110.733
75,Leisure/Recreation,"Outdoor Recreation Facility (Zoo, Golf Course)",Melbourne Showgrounds,144.9108221,-37.78230979,11.956,11.67,12.724,11.792,11.125,11.392,12.388,12.336,10.792,11.859,12.109,12.28
76,Place Of Assembly,Theatre Live,Her Majesty's Theatre,144.9695202,-37.81099756,281.816,308.568,348.749,346.188,395.316,337.295,354.669,395.2,354.929,385.362,338.136,317.071
