,Theme,Sub Theme,Feature Name,x,y,query
11,Place of Worship,Church,Greek Orthodox Church,144.9782591,-37.80880647,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Greek Orthodox Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Greek%20Orthodox%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
12,Place of Worship,Church,St Peter's Eastern Hill,144.9752592,-37.80970867,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Peter's Eastern Hill"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Peters%20Eastern%20Hill"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
13,Place of Worship,Church,Lutheran Trinity Church,144.9757295,-37.81097571,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Lutheran Trinity Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Lutheran%20Trinity%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
14,Place of Worship,Church,Holy Trinity,144.9831973,-37.81406671,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Holy Trinity"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Holy%20Trinity"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
15,Place of Worship,Church,St Johns Lutheran Church,144.9671211,-37.82093997,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Johns Lutheran Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Johns%20Lutheran%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
16,Place of Worship,Church,North Melbourne Uniting,144.9476715,-37.80355385,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""North Melbourne Uniting"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=North%20Melbourne%20Uniting"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
17,Place of Worship,Church,Melbourne Unitarian Church,144.9846649,-37.81144878,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Melbourne Unitarian Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Melbourne%20Unitarian%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
18,Place of Worship,Church,All Nations Uniting Church,144.9689811,-37.79591553,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""All Nations Uniting Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=All%20Nations%20Uniting%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
19,Place of Worship,Church,Our Lady of Lebanon Church,144.9693347,-37.80257665,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""Our Lady of Lebanon Church"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=Our%20Lady%20of%20Lebanon%20Church"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
20,Place of Worship,Church,St Michaels,144.9453995,-37.79405127,"<script type=""text/javascript"" src=""https://ssl.gstatic.com/trends_nrtr/2674_RC03/embed_loader.js""></script>
<script type=""text/javascript""> trends.embed.renderExploreWidget(""TIMESERIES"", { ""comparisonItem"": [{ ""keyword"": ""St Michaels"", ""geo"": ""AU"", ""time"": ""today 1-m"" }], ""category"": 0, ""property"": """" }, { ""exploreQuery"": ""date=today%201-m&geo=AU&q=St%20Michaels"", ""guestPath"": ""https://trends.google.com:443/trends/embed/"" }); </script>"
