,Sensor_ID,Month,Hourly_Counts,latitude,longitude
0,1,April,1005854,-37.8134944,144.96515324
1,1,August,838069,-37.8134944,144.96515324
2,1,December,1192463,-37.8134944,144.96515324
3,1,February,881310,-37.8134944,144.96515324
4,1,January,871901,-37.8134944,144.96515324
5,1,July,895441,-37.8134944,144.96515324
6,1,June,954095,-37.8134944,144.96515324
7,1,March,1009342,-37.8134944,144.96515324
8,1,May,979720,-37.8134944,144.96515324
9,1,November,1037267,-37.8134944,144.96515324
10,1,October,1028681,-37.8134944,144.96515324
11,1,September,943758,-37.8134944,144.96515324
12,2,April,695109,-37.81380667,144.96516719
13,2,August,641791,-37.81380667,144.96516719
14,2,December,927155,-37.81380667,144.96516719
15,2,February,636002,-37.81380667,144.96516719
