,Census year,Block ID,Property ID,Base property ID,Street address,CLUE small area,Trading name,Number of patrons,x,y,January_Popular_Score,February_Popular_Score,March_Popular_Score,April_Popular_Score,May_Popular_Score,June_Popular_Score,July_Popular_Score,August_Popular_Score,September_Popular_Score,October_Popular_Score,November_Popular_Score,December_Popular_Score
34,2019,14,103950,103950,335-339 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Bartronica,200,144.96323,-37.81785,623.752,649.949,616.683,641.097,672.889,612.031,670.032,683.907,565.334,712.239,579.293,627.038
35,2019,14,104003,104003,2-8 Queen Street MELBOURNE 3000,Melbourne (CBD),Candela Nuevo,300,144.96271,-37.81859,435.824,518.098,594.851,535.005,580.222,517.424,572.886,584.73,549.681,623.243,593.087,593.885
36,2019,15,103944,103944,277-279 Flinders Lane MELBOURNE 3000,Melbourne (CBD),The Mill House Bar,400,144.9653,-37.81724,683.893,650.653,722.527,930.211,848.848,921.964,1036.556,1128.99,911.887,773.184,781.627,928.429
37,2019,15,109257,109257,1-7 Swanston Street MELBOURNE 3000,Melbourne (CBD),Young & Jacksons,470,144.96702,-37.81736,0.0,1031.56,2153.65,2454.919,2275.531,2181.763,2396.359,2432.737,2206.447,2268.632,2063.6,2256.492
38,2019,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Mon Bijou,180,144.96838,-37.81636,709.08,670.783,754.718,822.82,757.846,751.973,834.152,862.854,765.115,771.917,784.222,923.771
39,2019,16,103938,103938,187 Flinders Lane MELBOURNE 3000,Melbourne (CBD),The Adelphi Hotel,80,144.96838,-37.81636,709.08,670.783,754.718,822.82,757.846,751.973,834.152,862.854,765.115,771.917,784.222,923.771
40,2019,16,104020,104020,150-162 Flinders Street MELBOURNE 3000,Melbourne (CBD),Forum Theatre Bar,1500,144.96939,-37.81649,325.646,247.444,337.658,502.131,406.162,396.544,456.354,389.842,396.104,419.958,163.377,371.62
41,2019,16,108532,108532,27-37 Russell Street MELBOURNE 3000,Melbourne (CBD),Whiskey Den,40,144.96925,-37.81599,896.921,846.944,970.937,993.372,880.462,837.998,912.024,908.616,845.768,989.159,967.955,1168.582
42,2019,24,103174,103174,55-57 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),Fiftyfive,88,144.96413,-37.81697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1002.373,1146.006,1499.608
43,2019,25,101789,101789,252-254 Flinders Lane MELBOURNE 3000,Melbourne (CBD),Hell's Kitchen,55,144.9656,-37.8166,0.0,1088.813,2288.093,2250.688,2256.77,2109.438,2288.748,2293.628,2146.242,2842.158,2826.938,3075.702
44,2019,35,102141,102141,280-292 Collins Street MELBOURNE 3000,Melbourne (CBD),The Charles Dickens Tavern,450,144.96435,-37.81553,693.124,0.0,0.0,0.0,440.336,967.951,1086.379,1101.255,1035.472,1050.508,1123.346,1303.813
45,2019,35,105919,105919,267 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Bar Americano,10,144.9656,-37.81483,1955.043,1645.482,1819.73,1806.357,1811.394,1813.111,2024.395,1917.737,1887.26,1590.61,2153.761,2637.254
46,2019,35,105919,105919,267 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Polepole Bar,100,144.9656,-37.81483,1955.043,1645.482,1819.73,1806.357,1811.394,1813.111,2024.395,1917.737,1887.26,1590.61,2153.761,2637.254
47,2019,35,109271,109271,125-133 Swanston Street MELBOURNE 3000,Melbourne (CBD),Max Watt's,800,144.9658,-37.81472,2012.488,1647.7,1821.921,1807.644,1852.366,1875.516,2093.382,1985.309,1951.754,1642.566,2225.865,2723.254
48,2019,35,558610,558610,256 Collins Street MELBOURNE 3000,Melbourne (CBD),The Butterfly Club,190,144.96529,-37.81552,1286.102,833.253,920.57,910.692,1136.268,1261.825,1407.702,1350.845,1316.228,1136.709,1489.291,1806.349
49,2019,36,102152,102152,162-168 Collins Street MELBOURNE 3000,Melbourne (CBD),The George on Collins,620,144.96785,-37.8145,656.781,671.852,726.004,743.574,681.778,668.675,718.632,738.046,700.606,737.172,643.098,716.915
50,2019,45,105960,105960,318-322 Little Collins Street MELBOURNE 3000,Melbourne (CBD),New Guernica,380,144.96401,-37.81489,1616.045,1598.649,1830.394,1835.564,1747.333,1692.964,1650.09,1574.912,1685.443,1811.034,1858.796,2147.487
51,2019,46,101130,101130,193-199 Bourke Street MELBOURNE 3000,Melbourne (CBD),The Carlton Hotel,366,144.96765,-37.8132,639.369,513.032,588.006,601.394,625.412,788.078,780.513,793.476,706.427,746.869,822.583,891.372
52,2019,46,101133,101133,209-215 Bourke Street MELBOURNE 3000,Melbourne (CBD),Treasure Star,150,144.9673,-37.81328,1333.049,1302.769,1492.153,1491.314,1469.209,1484.405,1405.968,1333.994,1447.843,1571.109,1604.29,1828.112
53,2019,46,105963,105963,196-212 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Hana,50,144.96715,-37.8139,1299.652,1188.865,1312.802,1311.433,1217.017,1185.514,1312.625,1255.594,1231.384,1007.28,1384.043,1670.384
54,2019,46,105964,105964,188-194 Little Collins Street MELBOURNE 3000,Melbourne (CBD),Gin Palace,150,144.96758,-37.81391,650.413,640.626,709.184,708.145,666.124,644.403,714.012,620.9,648.275,733.72,482.044,723.836
55,2019,46,108536,108536,115-127 Russell Street MELBOURNE 3000,Melbourne (CBD),Portland Hotel,414,144.9682,-37.81366,433.179,337.823,359.768,384.36,403.892,552.536,602.66,665.521,624.829,666.557,574.858,641.561
56,2019,46,108537,108537,131-141 Russell Street MELBOURNE 3000,Melbourne (CBD),QT Melbourne,885,144.96784,-37.81343,438.664,442.487,469.948,493.549,466.701,501.475,543.383,587.686,567.637,610.691,464.27,545.654
57,2019,46,109413,109413,146 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cabinet Bar,90,144.9662,-37.81418,2592.623,2436.094,2775.299,2769.412,2700.772,2798.886,2766.657,2627.761,2812.877,2920.074,3107.488,3614.93
58,2019,46,111394,111394,16-30 Russell Place MELBOURNE 3000,Melbourne (CBD),Bar Ampere,60,144.96744,-37.81355,1476.257,1415.724,1623.762,1629.575,1578.512,1585.016,1548.384,1488.651,1582.386,1719.14,1736.896,1996.675
59,2019,54,104653,104653,21-25 Hardware Lane MELBOURNE 3000,Melbourne (CBD),Campari House,326,144.96131,-37.81409,661.512,652.822,716.021,673.452,669.305,631.083,685.932,703.812,661.524,726.634,713.781,774.932
60,2019,54,109954,109954,15-19 Warburton Lane MELBOURNE 3000,Melbourne (CBD),Murmur,50,144.96185,-37.81381,804.604,741.662,819.302,800.706,758.98,724.288,803.095,763.976,752.783,626.972,851.204,1030.326
61,2019,55,101193,101193,338-352 Bourke Street MELBOURNE 3000,Melbourne (CBD),Alto Event Space,400,144.96329,-37.8136,449.476,451.119,515.184,483.399,487.875,452.656,492.143,506.707,479.542,474.288,452.546,531.518
62,2019,55,101194,101194,314-336 Bourke Street MELBOURNE 3000,Melbourne (CBD),Mural Hall,900,144.96383,-37.81345,609.558,628.084,699.238,679.904,665.935,610.209,649.184,659.368,629.909,641.864,694.456,709.095
63,2019,55,109284,109284,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),Black Opal,200,144.96501,-37.8131,1013.798,0.0,0.0,0.0,704.684,1478.976,1592.175,1617.439,1507.438,1576.319,1661.317,1881.933
64,2019,55,109284,109284,191-205 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cocoon Bar,200,144.96501,-37.8131,1013.798,0.0,0.0,0.0,704.684,1478.976,1592.175,1617.439,1507.438,1576.319,1661.317,1881.933
65,2019,56,101206,101206,188 Bourke Street MELBOURNE 3000,Melbourne (CBD),Heros Rooftop Bar,302,144.96761,-37.8127,677.295,695.393,793.015,817.873,743.227,725.24,737.472,788.343,737.631,800.285,757.337,742.12
66,2019,56,101207,101207,184-186 Bourke Street MELBOURNE 3000,Melbourne (CBD),Stars KTV and Lounge,204,144.96769,-37.81268,728.687,771.778,877.2,900.881,807.194,793.232,763.246,782.932,697.804,736.944,803.9,836.719
67,2019,6,578327,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Zinc at Federation Square,1000,144.96982,-37.81779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.634,1133.327,1454.335
68,2019,6,578321,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Beer De Luxe,1000,144.96982,-37.81779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.634,1133.327,1454.335
69,2019,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transit Rooftop Bar,200,144.96982,-37.81779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.634,1133.327,1454.335
70,2019,6,578324,573333,2 Swanston Street MELBOURNE 3000,Melbourne (CBD),Transport Hotel,600,144.96982,-37.81779,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1029.634,1133.327,1454.335
71,2019,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),Charlie's Bar,143,144.96091,-37.81323,380.636,395.618,430.882,395.728,410.6,371.957,411.534,423.69,397.496,440.904,427.813,432.567
72,2019,64,104659,104659,67-73 Hardware Lane MELBOURNE 3000,Melbourne (CBD),The Mill,119,144.96091,-37.81323,380.636,395.618,430.882,395.728,410.6,371.957,411.534,423.69,397.496,440.904,427.813,432.567
73,2019,64,105700,105700,359-363 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Whitehart,200,144.96188,-37.81275,785.016,500.778,1402.359,1327.623,1217.599,1140.882,1224.249,1320.195,1194.424,1272.318,1241.686,1297.509
74,2019,64,105704,105704,377-381 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Trapt Bar & Escape Rooms,331,144.96145,-37.81288,660.175,408.702,1201.567,1137.469,1040.096,975.564,1045.875,1129.266,1019.836,1085.811,1058.94,1108.116
75,2019,64,105870,105870,380-384 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Kirk's Public Bar,98,144.96133,-37.81354,371.956,388.013,423.311,386.697,403.242,365.322,404.12,415.966,388.796,431.412,414.8,422.666
76,2019,64,515538,515538,4-6 Goldie Place MELBOURNE 3000,Melbourne (CBD),Paris Cat Jazz Club,120,144.96083,-37.81352,359.551,376.546,409.473,374.372,391.068,352.477,390.911,402.392,377.127,419.618,406.358,406.952
77,2019,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Beneath Driver Lane,118,144.96313,-37.81293,1439.918,1446.561,1644.845,1623.302,1584.953,1536.136,1480.996,1413.072,1535.199,1673.016,1677.589,1914.938
78,2019,65,105875,105875,318-322 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Penny Blue,85,144.96313,-37.81293,1439.918,1446.561,1644.845,1623.302,1584.953,1536.136,1480.996,1413.072,1535.199,1673.016,1677.589,1914.938
79,2019,65,109292,109292,243-249 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Lounge,212,144.96474,-37.8123,1320.415,1087.989,1617.418,1583.541,1458.837,1389.981,1511.133,1467.55,1431.952,1220.622,1608.434,1897.112
80,2019,66,105691,105691,209-211 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Boilermaker House,180,144.96626,-37.81143,610.506,667.833,720.063,758.474,668.804,658.73,692.817,785.668,727.021,762.955,678.403,709.215
81,2019,66,105694,105694,233-237 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),The Emerald Peacock,300,144.96555,-37.81158,1152.25,1092.331,1892.595,1739.805,1637.386,1456.331,1564.524,1786.614,1579.796,1670.151,1526.595,1674.628
82,2019,66,105694,105694,233-237 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Mezcalito Agave Bar,100,144.96555,-37.81158,1152.25,1092.331,1892.595,1739.805,1637.386,1456.331,1564.524,1786.614,1579.796,1670.151,1526.595,1674.628
83,2019,66,105695,105695,239 Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Ferdydurke,100,144.96538,-37.81159,1224.537,1154.296,2024.71,1860.369,1749.987,1556.189,1672.279,1909.923,1687.992,1783.994,1631.743,1790.293
84,2019,66,105878,105878,242-244 Little Bourke Street MELBOURNE 3000,Melbourne (CBD),Shanghai Club,209,144.96559,-37.8121,1047.117,572.77,2117.17,2035.987,1829.896,1729.37,1786.514,1908.762,1771.876,1886.713,1867.364,1943.821
85,2019,66,108547,108547,199-203 Russell Street MELBOURNE 3000,Melbourne (CBD),Exford Hotel,300,144.96734,-37.81179,908.467,954.611,1088.027,1116.67,1004.302,985.284,954.355,981.236,881.505,936.154,1003.441,1032.195
86,2019,66,109390,109390,264-266 Swanston Street MELBOURNE 3000,Melbourne (CBD),Goldilocks,60,144.96515,-37.81181,1096.832,1150.703,1611.292,1483.533,1415.203,1254.154,1344.903,1539.609,1369.075,1452.506,1305.832,1442.703
87,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),The Toff In Town,342,144.96527,-37.81199,978.357,1026.919,1426.487,1317.429,1255.1,1115.455,1193.235,1362.599,1212.845,1287.504,1161.07,1279.009
88,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Rooftop Cinema & Bar,200,144.96527,-37.81199,978.357,1026.919,1426.487,1317.429,1255.1,1115.455,1193.235,1362.599,1212.845,1287.504,1161.07,1279.009
89,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cookie,300,144.96527,-37.81199,978.357,1026.919,1426.487,1317.429,1255.1,1115.455,1193.235,1362.599,1212.845,1287.504,1161.07,1279.009
90,2019,66,109392,109392,248-258 Swanston Street MELBOURNE 3000,Melbourne (CBD),Mesa Verde,175,144.96527,-37.81199,978.357,1026.919,1426.487,1317.429,1255.1,1115.455,1193.235,1362.599,1212.845,1287.504,1161.07,1279.009
91,2019,66,109436,109436,27-29 Tattersalls Lane MELBOURNE 3000,Melbourne (CBD),Section 8 Bar,100,144.96539,-37.81176,1104.064,1039.781,1824.095,1677.402,1576.991,1403.551,1507.01,1719.767,1520.011,1606.519,1471.54,1613.385
92,2019,66,109952,109952,7-9 Waratah Place MELBOURNE 3000,Melbourne (CBD),Manchuria,80,144.96699,-37.81162,952.509,1013.004,1138.941,1169.857,1047.261,1028.207,995.786,1023.181,908.472,947.829,1038.805,1089.94
93,2019,66,635138,635138,13 Heffernan Lane MELBOURNE 3000,Melbourne (CBD),Union Electric,100,144.96659,-37.8118,737.636,808.139,868.787,915.456,806.78,794.561,837.337,950.658,879.15,920.459,817.732,856.813
94,2019,74,104662,104662,106-112 Hardware Street MELBOURNE 3000,Melbourne (CBD),Mjolner Melbourne,200,144.96068,-37.81214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1124.965,1058.969,1047.48
95,2019,74,106017,106017,391-393 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),La La Land,175,144.96034,-37.81187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1135.284,1065.423,1046.423
96,2019,74,106018,106018,395-397 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Horse Bazaar,158,144.96025,-37.8119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1099.937,1031.927,1012.763
97,2019,74,106019,106019,399-401 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Novotel/Ibis Melbourne Central,786,144.96014,-37.81205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.485,959.354,941.637
98,2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Father's Office,370,144.96572,-37.81068,811.948,702.997,1282.441,1261.26,1126.698,1077.727,1068.885,1125.433,987.277,1039.765,1114.163,1166.734
99,2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Idarts Hive,100,144.96572,-37.81068,811.948,702.997,1282.441,1261.26,1126.698,1077.727,1068.885,1125.433,987.277,1039.765,1114.163,1166.734
100,2019,76,589841,105749,221 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Strike Bowling,370,144.96572,-37.81068,811.948,702.997,1282.441,1261.26,1126.698,1077.727,1068.885,1125.433,987.277,1039.765,1114.163,1166.734
101,2019,84,103207,103207,315-321 Elizabeth Street MELBOURNE 3000,Melbourne (CBD),The Meeting Place,250,144.96146,-37.81122,465.441,488.645,537.627,509.148,522.828,458.98,513.687,539.037,519.145,943.9,906.015,868.367
102,2019,84,106037,106037,324-328 Little Lonsdale Street MELBOURNE 3000,Melbourne (CBD),Alchemist's Refuge,60,144.95994,-37.81167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.815,929.589,884.112
103,2019,85,102596,102596,22 Drewery Place MELBOURNE 3000,Melbourne (CBD),Sister Bella,80,144.96382,-37.81135,940.398,955.751,1163.793,1146.796,1057.263,1017.043,1008.516,1034.661,922.661,982.555,1062.431,1144.853
104,2019,85,102597,102597,2-20 Drewery Place MELBOURNE 3000,Melbourne (CBD),Baroq House,303,144.96397,-37.8113,954.436,966.072,1200.023,1182.223,1087.369,1044.885,1034.983,1064.564,947.169,1007.22,1088.891,1172.019
105,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Strike Melbourne Central,760,144.96277,-37.81051,701.098,151.282,1840.784,1746.372,1535.211,1434.248,1528.489,1689.9,1496.764,2014.509,1955.191,1960.931
106,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),B. Lucky & Sons,300,144.96277,-37.81051,701.098,151.282,1840.784,1746.372,1535.211,1434.248,1528.489,1689.9,1496.764,2014.509,1955.191,1960.931
107,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Hoyts,300,144.96277,-37.81051,701.098,151.282,1840.784,1746.372,1535.211,1434.248,1528.489,1689.9,1496.764,2014.509,1955.191,1960.931
108,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Party World,500,144.96277,-37.81051,701.098,151.282,1840.784,1746.372,1535.211,1434.248,1528.489,1689.9,1496.764,2014.509,1955.191,1960.931
109,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Melbourne Central Lion Hotel,550,144.96277,-37.81051,701.098,151.282,1840.784,1746.372,1535.211,1434.248,1528.489,1689.9,1496.764,2014.509,1955.191,1960.931
110,2019,85,105746,105746,183-265 La Trobe Street MELBOURNE 3000,Melbourne (CBD),Diesel Bar,375,144.96277,-37.81051,701.098,151.282,1840.784,1746.372,1535.211,1434.248,1528.489,1689.9,1496.764,2014.509,1955.191,1960.931
111,2019,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Mui Karaoke,243,144.96436,-37.81143,1187.127,1158.483,1382.669,1319.629,1266.641,1201.422,1270.077,1316.548,1214.236,1317.94,1324.205,1445.963
112,2019,85,109302,109302,281-287 Swanston Street MELBOURNE 3000,Melbourne (CBD),Bornga,40,144.96436,-37.81143,1187.127,1158.483,1382.669,1319.629,1266.641,1201.422,1270.077,1316.548,1214.236,1317.94,1324.205,1445.963
113,2019,85,109304,109304,301-303 Swanston Street MELBOURNE 3000,Melbourne (CBD),Cheek,98,144.96419,-37.81108,1054.853,994.687,1478.991,1442.099,1317.93,1254.401,1260.671,1322.148,1173.036,1244.439,1312.217,1401.422
114,2019,327,102352,102352,171-173 Curzon Street NORTH MELBOURNE 3051,North Melbourne,Albion Hotel,100,144.94855,-37.7989,33.389,31.896,36.396,34.654,32.847,34.348,38.671,37.553,27.914,29.143,36.967,36.204
